form	lemma	xpostag
kanálisba	kanális	[/N][Ill]
esik	esik	[/V][Prs.NDef.3Sg]
és	és	[/Cnj]
futnak	fut	[/V][Prs.NDef.3Pl]
a	a	[/Det|Art.Def]
többiek	többi	[/Adj|Pro][Pl][Nom]
és	és	[/Cnj]
beleesnek	beleesik	[/V][Prs.NDef.3Pl]
azok	az	[/Det|Pro][Pl][Nom]
is	is	[/Adv]
;	;	[Punct]
a	a	[/Det|Art.Def]
kanális	kanális	[/N][Nom]
nagyon	nagyon	[/Adv]
mély	mély	[/Adj][Nom]
,	,	[Punct]
az	az	[/Det|Art.Def]
anyamacska	anyamacska	[/N][Nom]
utánuk	után	[/Post][3Pl]
akar	akar	[/V][Prs.NDef.3Sg]
menni	megy	[/V][Inf]
,	,	[Punct]
de	de	[/Cnj]
a	a	[/Det|Art.Def]
létra	létra	[/N][Nom]
vas	vas	[/N][Nom]
,	,	[Punct]
nem	nem	[/Adv]
tud	tud	[/V][Prs.NDef.3Sg]
megkapaszkodni	megkapaszkodik	[/V][Inf]
a	a	[/Det|Art.Def]
körmeivel	köröm	[/N][Pl.Poss.3Sg][Ins]
és	és	[/Cnj]
ő	ő	[/N|Pro][3Sg][Nom]
is	is	[/Adv]
a	a	[/Det|Art.Def]
piszkos	piszkos	[/Adj][Nom]
vízbe	víz	[/N][Ill]
zuhan	zuhan	[/V][Prs.NDef.3Sg]
.	.	[Punct]
#  ref: doc#579
#  left_length: 12
#  kwic_length: 1
#  right_length: 5
#  sent: - Maga téved - nevette el magát az asszony -, ő még belefeküdni sem  akar  .
-	-	[Punct]
Maga	maga	[/N|Pro][3Sg][Nom]
téved	téved	[/V][Prs.NDef.3Sg]
-	-	[Punct]
nevette	nevet	[/V][Pst.Def.3Sg]
el	el	[/Prev]
magát	maga	[/N|Pro][3Sg][Acc]
az	az	[/Det|Art.Def]
asszony	asszony	[/N][Nom]
-,	-,	[Punct]
ő	ő	[/N|Pro][3Sg][Nom]
még	még	[/Adv]
belefeküdni	belefekszik	[/V][Inf]
sem	sem	[/Adv]
akar	akar	[/V][Prs.NDef.3Sg]
.	.	[Punct]
#  ref: doc#661
#  left_length: 8
#  kwic_length: 1
#  right_length: 1
#  sent: Közölte , hogy a darabot ő  akarja rendezni .
Közölte	közöl	[/V][Pst.Def.3Sg]
,	,	[Punct]
hogy	hogy	[/Cnj]
a	a	[/Det|Art.Def]
darabot	darab	[/N][Acc]
ő	ő	[/N|Pro][3Sg][Nom]
akarja	akar	[/V][Prs.Def.3Sg]
rendezni	rendez	[/V][Inf]
.	.	[Punct]
#  ref: doc#662
#  left_length: 11
#  kwic_length: 1
#  right_length: 18
#  sent: A Jeruzsálem pusztulása kiesik a sorból , mert nem  akart beleszólni a politikai és ideológiai csatározásokba , amelyek megírása idején egyébként nyomokban is csak halványan tűntek még elő .
A	a	[/Det|Art.Def]
Jeruzsálem	Jeruzsálem	[/N][Nom]
pusztulása	pusztulás	[/N][Poss.3Sg][Nom]
kiesik	kiesik	[/V][Prs.NDef.3Sg]
a	a	[/Det|Art.Def]
sorból	sor	[/N][Ela]
,	,	[Punct]
mert	mert	[/Cnj]
nem	nem	[/Adv]
akart	akar	[/V][Pst.NDef.3Sg]
beleszólni	beleszól	[/V][Inf]
a	a	[/Det|Art.Def]
politikai	politikai	[/Adj][Nom]
és	és	[/Cnj]
ideológiai	ideológiai	[/Adj][Nom]
csatározásokba	csatározás	[/N][Pl][Ill]
,	,	[Punct]
amelyek	amely	[/N|Pro|Rel][Pl][Nom]
megírása	megírás	[/N][Poss.3Sg][Nom]
idején	idő	[/N][Poss.3Sg][Supe]
egyébként	egyébként	[/Adv]
nyomokban	nyom	[/N][Pl][Ine]
is	is	[/Adv]
csak	csak	[/Adv]
halványan	halvány	[/Adj][_Manner/Adv]
tűntek	tűnik	[/V][Pst.NDef.3Pl]
még	még	[/Adv]
elő	elő	[/Prev]
.	.	[Punct]
#  ref: doc#666
#  left_length: 11
#  kwic_length: 1
#  right_length: 16
#  sent: Húszéves lévén nem győztem csodálkozni , hogy színházunk nem  akarta bemutatni a Krisztusomat , amint az olajfák között csókolgatja a szőke bűnös leányzót , Mária Magdalénát .
Húszéves	húszéves	[/Adj][Nom]
lévén	lévén	[/Adv]
nem	nem	[/Adv]
győztem	győz	[/V][Pst.NDef.1Sg]
csodálkozni	csodálkozik	[/V][Inf]
,	,	[Punct]
hogy	hogy	[/Cnj]
színházunk	színház	[/N][Poss.1Pl][Nom]
nem	nem	[/Adv]
akarta	akar	[/V][Pst.Def.3Sg]
bemutatni	bemutat	[/V][Inf]
a	a	[/Det|Art.Def]
Krisztusomat	Krisztus	[/N][Poss.1Sg][Acc]
,	,	[Punct]
amint	amint	[/Adv|Pro|Rel]
az	az	[/Det|Art.Def]
olajfák	olajfa	[/N][Pl][Nom]
között	között	[/Post]
csókolgatja	csókolgat	[/V][Prs.Def.3Sg]
a	a	[/Det|Art.Def]
